state	city	Alcohol Abuse Total Death of that State	State% of High School Diploma	State% of Bachelor's Degree	State% of Advanced Degree
Michigan	Traverse City	4548.0	91.96	31.67	12.48
Michigan	Traverse City	4548.0	91.96	31.67	12.48
Michigan	Traverse City	4548.0	91.96	31.67	12.48
Michigan	Traverse City	4548.0	91.96	31.67	12.48
Michigan	Traverse City	4548.0	91.96	31.67	12.48
Michigan	Traverse City	4548.0	91.96	31.67	12.48
Michigan	Trenton	4548.0	91.96	31.67	12.48
Michigan	Troy	4548.0	91.96	31.67	12.48
Michigan	Troy	4548.0	91.96	31.67	12.48
Michigan	Troy	4548.0	91.96	31.67	12.48
Michigan	Union	4548.0	91.96	31.67	12.48
Michigan	Union Lake	4548.0	91.96	31.67	12.48
Michigan	Utica	4548.0	91.96	31.67	12.48
Michigan	Utica	4548.0	91.96	31.67	12.48
Michigan	Utica	4548.0	91.96	31.67	12.48
Michigan	Van Buren	4548.0	91.96	31.67	12.48
Michigan	Vanderbilt	4548.0	91.96	31.67	12.48
Michigan	Vandercook Lake	4548.0	91.96	31.67	12.48
Michigan	Vassar	4548.0	91.96	31.67	12.48
